00,0		01,0		23
01,0		02,0		22
02,0		03,0		21
03,0		04,0		20
04,0		05,0		19
05,0		06,0		18
06,0		07,0		17
07,0		08,0		16
08,0		09,0		15
09,0		10,0		14
10,0		11,0		13
11,0		12,0		12
12,0		13,0		11
13,0		14,0		10
14,0		15,0		9
15,0		16,0		8
16,0		17,0		7
17,0		18,0		6
18,0		19,0		5
19,0		20,0		4
20,0		21,0		3
21,0		22,0		2
22,0		23,0		1
23,0		24,0		0


